Id;Goal;State;Launch;Deadline
52687;1200;successful;22.11.2012, 03:39:32;22.12.2012, 03:39:32
197154;1450;successful;11.01.2013, 19:49:37;10.02.2013, 19:49:37
254501;125000;failed;25.01.2013, 22:55:15;05.03.2013, 22:55:15
472063;150000;successful;26.10.2012, 03:38:18;25.12.2012, 04:38:18
522769;2000;successful;30.03.2013, 16:18:04;29.04.2013, 16:18:04
749527;5100;failed;02.04.2013, 23:27:15;02.05.2013, 23:27:15
856082;3000;failed;19.12.2012, 02:07:40;18.01.2013, 02:07:40
915154;300;failed;15.11.2012, 22:13:14;15.12.2012, 22:13:14
1033120;2500;successful;23.03.2013, 03:01:24;16.04.2013, 03:00:00
1044530;30000;successful;04.04.2013, 16:00:24;04.05.2013, 16:00:24
1156776;1600;failed;12.02.2013, 20:53:23;13.04.2013, 19:53:23
1804694;900;failed;30.01.2013, 20:00:16;01.03.2013, 20:00:16
1818860;5000;failed;30.01.2013, 03:46:36;01.03.2013, 03:46:36
1877302;17500;successful;02.02.2013, 12:22:02;04.03.2013, 07:59:00
1966108;5000;successful;05.04.2013, 20:34:47;21.04.2013, 06:59:00
1980322;5000;successful;20.03.2013, 06:20:26;10.04.2013, 06:20:26
2107190;7000;successful;14.11.2012, 01:22:18;14.12.2012, 01:22:18
2223811;1000;successful;15.02.2013, 22:40:53;17.03.2013, 21:40:53
2291348;4000;failed;11.10.2012, 06:27:34;13.11.2012, 07:27:34
2507203;13000;failed;25.01.2013, 01:39:12;11.03.2013, 00:39:12
2614753;700;failed;30.01.2013, 20:51:42;19.02.2013, 20:51:42
2834845;30000;failed;26.04.2013, 22:34:32;17.05.2013, 22:34:32
2996440;800;successful;24.01.2013, 21:07:51;01.03.2013, 07:59:00
3029682;1000;failed;19.12.2012, 23:02:47;17.01.2013, 23:02:47
3088735;375;failed;23.10.2012, 04:12:33;22.11.2012, 05:12:33
3204323;1000;failed;09.02.2013, 23:38:47;06.03.2013, 23:36:00
3237618;700;successful;06.12.2012, 23:46:01;12.12.2012, 18:23:00
3240278;1000;successful;12.03.2013, 14:09:08;21.04.2013, 13:09:08
3409175;5500;successful;20.02.2013, 02:32:26;10.03.2013, 02:32:26
3624285;1500;successful;12.01.2013, 22:23:44;11.02.2013, 22:23:44
3656864;10000;successful;10.10.2012, 23:04:25;12.11.2012, 00:03:34
3931253;200;successful;30.01.2013, 23:24:29;01.03.2013, 23:24:29
4060404;500;successful;23.10.2012, 01:13:20;22.11.2012, 02:13:20
4091176;3000;failed;12.10.2012, 19:06:09;11.11.2012, 20:06:09
4221775;7000;successful;01.11.2012, 22:58:22;21.11.2012, 23:58:22
4474287;5000;failed;19.10.2012, 16:08:10;10.11.2012, 01:44:00
4686717;355000;failed;08.12.2012, 05:44:59;26.01.2013, 05:44:52
4790835;62000;failed;20.02.2013, 21:37:07;17.03.2013, 20:37:07
4950966;6000;failed;25.04.2013, 11:15:52;20.05.2013, 11:15:52
5353475;20000;successful;05.02.2013, 19:06:34;07.03.2013, 19:06:34
5395382;300;successful;19.02.2013, 21:58:56;11.03.2013, 20:58:56
5480957;1500;failed;09.02.2013, 14:47:48;24.02.2013, 14:47:48
5696950;8700;failed;23.10.2012, 17:53:35;22.11.2012, 00:01:00
5770885;1100;successful;31.01.2013, 01:52:38;28.02.2013, 21:00:00
5956177;7400;failed;03.04.2013, 05:03:44;03.05.2013, 05:03:44
6012727;2000;failed;21.12.2012, 15:31:26;25.01.2013, 15:31:26
6051741;7800;failed;07.11.2012, 01:58:58;19.12.2012, 01:58:58
7022380;32000;successful;26.02.2013, 21:58:12;29.03.2013, 05:15:00
7036152;6500;failed;14.01.2013, 08:06:41;28.01.2013, 07:59:00
7249988;900;successful;11.04.2013, 02:57:11;01.05.2013, 02:00:00
7372959;5000;failed;09.04.2013, 08:41:24;09.05.2013, 08:41:24
7617561;25000;successful;04.02.2013, 16:29:48;06.03.2013, 07:59:00
7711854;2750;failed;09.11.2012, 21:56:33;09.12.2012, 21:56:33
7745495;8000;successful;23.10.2012, 07:02:38;22.11.2012, 08:02:38
7843540;60000;failed;04.11.2012, 00:00:54;02.01.2013, 20:02:00
8057311;9000;successful;26.03.2013, 09:57:50;25.04.2013, 09:57:50
8099384;4000;failed;15.02.2013, 19:40:22;11.03.2013, 06:59:00
8158788;1200;failed;17.10.2012, 22:11:35;16.11.2012, 23:11:35
8166218;1000;failed;29.01.2013, 22:07:01;28.02.2013, 22:07:01
8403826;3250;failed;11.12.2012, 23:49:55;11.01.2013, 23:49:55
8521226;3500;failed;20.09.2012, 22:09:45;20.10.2012, 21:00:00
